unitid,scugrad2010,scugffn2010,scugffp2010,fgrnt_p2010,fgrnt_a2010,sgrnt_p2010,sgrnt_a2010,scugrad2011,scugffn2011,scugffp2011,fgrnt_p2011,fgrnt_a2011,sgrnt_p2011,sgrnt_a2011,scugrad2012,scugffn2012,scugffp2012,fgrnt_p2012,fgrnt_a2012,sgrnt_p2012,sgrnt_a2012,scugrad2013,scugffn2013,scugffp2013,fgrnt_p2013,fgrnt_a2013,sgrnt_p2013,sgrnt_a2013,scugrad2014,scugffn2014,scugffp2014,fgrnt_p2014,fgrnt_a2014,sgrnt_p2014,sgrnt_a2014,scugrad2015,scugffn2015,scugffp2015,fgrnt_p2015,fgrnt_a2015,sgrnt_p2015,sgrnt_a2015
228635,65,0,0,,,,,50,0,0,,,,,33,0,0,,,,,10,0,0,,,,,5,0,0,,,,,,,,,,,
228644,908,2,0,0,0,0,0,950,0,0,,,,,893,0,0,,,,,793,0,0,,,,,825,0,0,,,,,793,0,0,,,,
228653,546,0,0,,,,,651,0,0,,,,,676,0,0,,,,,725,0,0,,,,,708,0,0,,,,,745,0,0,,,,
228680,4975,915,18,66,5675.6465,33,2136.5469,4730,745,16,68,3545.998,47,2169.0403,4277,916,21,60,3642.1418,46,2010.9409,3988,787,20,58,3756.6475,34,3873.8599,,,,,,,,,,,,,,
228699,4695,538,11,37,4911.5298,6,1689.3549,4663,556,12,71,4207.0586,15,1403.7559,4110,440,11,79,4252.04,22,1227.6123,4239,502,12,83,4340.8438,16,1806.0975,4061,408,10,72,4504.9966,23,1451.2766,4165,402,10,71,4476.0034,2,1812.5
228705,7606,1240,16,64,5510.1948,50,6133.4014,8165,1194,15,66,5043.7925,59,5582.5293,8949,1272,14,59,5155.0132,48,5931.3267,9430,1216,13,58,4887.6509,54,4777.4453,9744,1088,11,58,4940.7686,48,5974.2095,6605,1263,19,55,4994.667,49,6470.9038
228714,1805,586,32,22,5000.3047,14,4256.2979,1952,593,30,17,4510.7227,15,3732.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228723,39148,7451,19,25,5092.1284,37,4656.4619,39867,7596,19,23,4487.9043,39,4042.0376,42011,7783,19,26,4613.6577,41,4511.1206,43930,9030,21,25,4654.6973,38,4840.2485,46937,9489,20,24,4675.0234,38,3985.2705,48959,9028,18,24,4729.687,26,5827.2998
228769,25106,2537,10,46,4732,39,6013.8945,25419,2401,9,46,4437.2041,40,6037.6421,25761,2527,10,44,4364.4976,35,5806.5415,25690,2624,10,42,4422.0728,32,5662.9004,29883,2683,9,45,4539.207,36,6760.6812,30633,2711,9,43,4671.0762,41,6636.876
228778,38420,7233,19,28,5367.0596,36,4095.9553,38437,7074,18,27,4521.6187,39,3752.4614,39955,8034,20,26,4818.0225,43,3490.3782,39979,7118,18,25,4465.9224,40,3194.1575,39523,7036,18,22,4529.9438,35,2833.761,39619,7566,19,24,4651.6357,29,7009.0479
228787,10648,1346,13,26,5009.4717,35,7209.855,11760,1761,15,29,4414.2666,41,7549.8784,12029,1522,13,26,4407.8564,43,6740.9863,13049,2193,17,27,4410.5967,39,6293.9277,14300,2480,17,28,4574.0127,39,6365.2998,15575,2656,17,26,4688.8115,32,7334.8657
228796,18160,2480,14,67,5975.6875,59,6572.1162,18973,2689,14,70,4942.2446,53,4839.3374,19217,2723,14,67,4914.7061,56,5166.7026,19696,2961,15,67,5025.4595,57,5020.5479,19817,2908,15,68,5027.8369,59,4929.6982,20220,3061,15,66,5074.3677,59,4873.0337
228802,5064,543,11,31,4986.877,33,5742.8721,5116,633,12,34,4488.8071,35,6116.0405,5239,625,12,33,4215.0957,30,6000.8159,5591,701,13,34,4448.2119,22,6718.4341,5849,678,12,32,4611.3823,23,4881.2168,6318,767,12,30,4616.2896,10,6441.9126
228875,7853,1836,23,15,4934.3853,16,3738.5339,8229,1868,23,11,3983.3574,11,3800.553,8456,1886,22,10,4484.4951,9,3963.7771,8640,1935,22,9,4678.3701,9,3719.1292,8647,1888,22,10,4728.5459,11,3679.1143,8894,2070,23,11,4751.3232,12,3860.3093
228884,927,201,22,85,5836.9233,39,4292.8203,855,212,25,97,4725.7949,55,3002.9827,845,146,17,95,3293.9131,86,2634.304,971,242,25,86,5145.1387,52,2973.1521,790,193,24,91,5160.4434,55,3671.8301,853,198,23,98,2216.4512,61,3442.9504
228981,1340,338,25,49,5473.3779,58,3787.8884,1415,398,28,43,4607.5723,52,3485.5098,1308,355,27,41,4085.2722,39,3498.8274,1305,346,27,39,4732.4297,51,3151.7515,1268,309,24,35,4704.1777,52,2980.7454,1364,395,29,38,4047,63,2607.249
229018,3177,331,10,50,4381.9272,36,3476.8501,3094,324,10,50,4282.1479,40,4364.168,3335,363,11,29,4237.6074,28,3639.5901,4246,314,7,24,4208.8667,30,4204.3052,4661,409,9,34,4342.3828,32,4508.1396,5233,475,9,38,4685.1372,28,3974.2593
229027,25794,4816,19,45,5558.3633,39,6579.5962,25810,4901,19,44,4464.4458,39,4091.533,25979,4457,17,43,4432.7754,41,4225.082,24342,3559,15,45,4600.5303,42,5098.1816,24285,4948,20,47,4877.6978,40,4534.7822,24462,4898,20,45,4845.8784,30,2636.2361
229036,936,473,51,77,4599.5889,0,0,823,396,48,80,4342.8228,1,4000,752,267,36,75,4143.9199,1,12890,713,343,48,79,4503.8628,10,3709.5,562,160,28,78,3956.5967,0,0,628,385,61,80,5097.9351,0,0
229063,6964,1121,16,81,5167.1719,61,5789.2725,6881,1040,15,79,4710.6362,67,5478.6211,7021,1218,17,78,4711.5283,70,4210.1099,6288,1057,17,80,4862.7905,79,4664.3823,6915,1434,21,77,4721.6567,62,4630.856,6696,1391,21,77,4776.6895,63,4371.4844
229115,25462,4859,19,26,4789.8652,26,5908.8281,26063,4413,17,27,4269.541,26,3869.5273,26481,4494,17,25,4375.3008,24,4979.0215,27044,4725,17,25,4434.3623,27,4705.666,28632,5519,19,24,4540.3477,24,3926.8022,29237,5079,17,23,4404.3301,24,4045.3789
229151,223,126,57,87,4291.3184,6,3137.2856,181,107,59,74,3403.0127,4,3595.5,132,90,68,66,3430.678,9,6114.5,89,44,49,75,4084.5757,5,6630,,,,,,,,,,,,,,
229160,1844,204,11,66,5465.1479,68,3856.5217,1723,164,10,76,4930,73,4002.4539,1794,266,15,45,4281.8184,6,3323.5293,1718,266,15,70,5046.4277,42,3865.0442,1687,310,18,39,4702.2378,37,3680.113,1811,365,20,45,3768.9758,32,3292.8621
229179,8484,946,11,56,5185.814,41,5279.2539,8330,1060,13,61,2405.2197,51,2406.1548,8776,1166,13,59,4580.9468,60,3809.4082,9515,1155,12,54,4814.8887,62,4453.2119,9680,1153,12,53,4850.2109,61,4517.3984,10080,1132,11,55,4972.0259,49,5135.1626
229267,2409,587,24,19,6218.0449,22,4346.9922,2331,636,27,19,6718.8486,23,3846.0537,2286,596,26,18,6263.7983,20,4175.1025,2161,534,25,14,5925.5264,22,3660.8547,2241,655,29,16,6290.9258,22,3774.3831,2233,602,27,15,5782.1719,21,3817.3516
229300,518,0,0,,,,,594,0,0,,,,,563,0,0,,,,,701,0,0,,,,,669,0,0,,,,,677,0,0,,,,
229319,5779,401,7,87,5747.7798,45,2801.8784,5807,433,7,87,3423.8479,63,1433.4213,5509,503,9,86,4630.4966,47,2383.9033,5332,493,9,89,4543.5811,48,2754.8945,,,,,,,,,,,,,,
229328,1117,48,4,46,6051.8638,31,2496.2666,856,25,3,72,3978.4443,40,3183.3,810,75,9,71,1742.7358,27,1600.4,1282,115,9,75,1673.2906,29,974.24243,,,,,,,,,,,,,,
229337,972,0,0,,,,,1154,0,0,,,,,1305,0,0,,,,,1346,0,0,,,,,1467,0,0,,,,,1489,0,0,,,,
229355,11738,2232,19,58,5229.0806,15,1664.5303,11540,1865,16,59,4620.8696,15,1417.0415,11374,2316,20,59,4693.252,16,1187.4111,11308,2452,22,58,4809.0317,23,1399.2877,11168,2466,22,56,4728.6758,13,1942.6355,10934,2464,23,55,4646.2236,7,1736.3334
